Column1,new,
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。 , 面對此類來電，請務必保持警覺，不要隨意相信對方的身分及故事。建議您先要求對方提供??資料核對身分，並且不要直接匯款。可採取的措施是向其他家人求證或透過其他方式聯繫該親戚以確認真?。,80
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。 , 這種類型的電話通常是詐騙，切勿根據來電指示進行任何投資操作。請立即掛斷電話，並向警方舉報此類詐騙行為。切勿透露任何個人資料或金融資訊。,100
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。 , 這種來電極有可能是詐騙。請不要相信並直接挂斷電話，千萬不要按照對方指示進行任何ATM操作。正確的做法是主動聯繫國稅局官方電話或上門詢問，以確認是否有此退款事宜。,80
如果不配合我們調查，你的所有資產都會被法院查封。 , 面對此類威脅性的詐騙來電，請保持冷靜，不要恐慌。建議您直接挂斷電話，並立即聯繫警方或相關機構進行核實及舉報。切勿提供任何個人資料或進行任何匯款行為。,80
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。 , 若接到聲稱是監理站並提到有逾期未繳罰單的來電，千萬不要直接在電話中提供任何個人資料或進行任何轉帳操作。請立即掛斷電話，並主動聯繫真正的監理單位查證是否真有此罰單。不要輕信來電顯示的號碼，以避免受騙。,60
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。 , 這種說詞明顯是詐騙，請立即挂斷電話，並可向警方或相關單位舉報此類詐騙行為。千萬不要提供任何個人資料或進行任何匯款行為。,80
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。 , 這明顯是詐騙電話，請立即掛斷電話，千萬不要按照對方的指示行動，並向警方報案。不要透露任何個人資訊或進行任何金錢交易。,80
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。 , 這顯然是一通詐騙電話。請不要回應任何要求匯款或提供個人資訊的來電，並立即向警方報案，記得留存詐騙電話號碼以供調查。不必理會該電話內容，切勿出席任何未經正式書面通知的法庭開庭。,100
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。 , 這明顯是典型的詐騙來電。請您千萬不要相信對方的話，並立即掛斷電話。為了安全起見，您應該通知家人並向警方報案。,80
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。 , 這類電話通常是詐騙，建議您不要直接匯款。應首先核實車貸狀態，可透過官方管道或原借款銀行查證真實性。千萬不要隨意透露個人資訊或進行任何匯款操作。,80
健保局通知：您的健保卡違規借給他人使用，即將停權。 , 面對此類來電通知聲稱健保卡違規借用的詐騙，請不要按指示操作任何金錢轉帳或提供個人資料。應立即挂斷電話，並主動聯繫健保局官方客服進行確認及報告詐騙。,100
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。 , 這顯然是一通詐騙電話。請千萬不要相信對方的言詞，更不要進行任何轉帳或提供個人資料。應立即掛斷電話，並向警方報案。,80
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。 , 這顯然是一通詐騙電話。請不要理會對方的任何要求，立即挂斷電話，並且可以向警方或相關機構舉報此類詐騙行為。不要提供任何個人資訊。,80
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。 , 這種來電極有可能是詐騙。請不要按對方的指示操作，應立即掛斷電話，並向警方或相關機構查證真?。不要提供任何個人資訊或進行任何匯款行為。,80
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。 , 這是一通詐騙電話，請立即挂斷電話，不要按任何指示操作。千萬不要提供任何個人資料，並盡快向警方報案。,80
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？ , 這種來電極有可能是詐騙。請不要立即回應任何個人資訊，也不要慌張離開家或讓任何人進入家中。請直接掛斷電話，並立即聯繫真正的警方求證真?。,80
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。 , 這顯然是一通詐騙電話。請不要相信對方的任何言詞，立即掛斷電話，並向警方或健保局查證此事，千萬不要按對方指示進行任何金錢交易。,80
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。 , 這類電話通常是詐騙，請不要隨意透露個人資訊，應立即掛斷電話，並向警方或相關機構舉報此類詐騙行為。切勿依照對方指示進行任何金融操作。,80
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。 , 面對此類來電，請務必保持警覺，不要直接提供任何個人資料。請告知對方你將透過官方網站或電話查證後再作處理，並直接挂斷電話。之後應主動聯繫國稅局官方電話進行確認。,80
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。 , 這種來電極有可能是詐騙。請不要直接在電話中透露任何個人資料，應立即挂斷電話，並主動聯繫相關法院或法律機構以核實真?。切勿按對方指示操作任何金錢轉賬或提供敏感資訊。,80
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。 , 若遇到此類電話，建議您立即提高警覺，千萬不要相信對方所說的任何關於支付關稅的要求。請不要提供任何個人資料或進行任何匯款行為，並盡快向警方報案。,80
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。 , 這種來電極有可能是詐騙。請立即掛斷電話，並不要按照對方的指示進行任何操作。若仍有疑慮，請主動聯繫警方或相關單位核實。,80
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。 , 若收到此類來電，首先要保持冷靜，不要慌張。請務必向家人或朋友核實該通話的真實性，並不要直接匯款。同時，可詢問對方詳細情況，並告知會聯繫警方進行確認。記得，真警察不會要求您直接支付保釋金。,80
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。 , 這類電話通常是詐騙，請不要提供任何個人財務資訊。建議您直接掛斷電話，並向相關機構或警方查證真?。,80
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。 , 這種電話通常是詐騙，請立即掛斷電話，並向警方或相關機構進行舉報。千萬不要提供任何個人資料或聽從對方的指示操作。,80
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。 , 這類電話通常是詐騙，請不要依照對方的指示進行任何轉帳或提供個人資料。請立即挂斷電話，並向警方或相關機構舉報此事件。切勿相信未經證實的包裹或罰款通知。,80
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。 , 這種電話內容極有可能是詐騙。請不要直接按照指示進行匯款，應立即掛斷電話，並主動聯繫勞保局官方電話進行核實。切勿提供任何個人資料或進行金錢交易。,80
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。 , 這是一通詐騙電話，千萬不要提供任何個人資料或驗證碼。請立即挂斷電話，並且不要回撥可疑的電話號碼。若您對帳號安全有疑慮，請直接透過Line Pay官方APP或官方客服電話進行查證。,80
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。 , 這明顯是典型的投資詐騙。請千萬不要相信任何來自未經確認的理財專員的限時投資方案，並立即挂斷電話，不要透露任何個人資料或進行任何金錢交易。若情況可疑，應立即向警方舉報。,100
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。 , 這種情況很可能是詐騙，請不要隨便相信對方的話。應立即挂斷電話，並自行致電您的信用卡發行銀行或百貨公司官方客服確認真?。千萬不要提供任何個人資料或按照對方的指示操作。,80
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。 , 若接到此類電話，建議您要保持警覺，不要隨便透露個人資料。應主動致電您的保險公司官方客服電話確認專員身份及優惠方案的真實性。,80
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。 , 如果您接到這樣的電話，請不要相信並立即掛斷。之後應主動聯繫蝦皮官方客服或登入您的蝦皮賬戶核實訂單狀態，千萬不要按照對方指示進行任何操作。,80
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。 , 這類電話通常是詐騙，千萬不要點擊任何來電中提供的連結。正確做法是直接忽略該通話，並且可以進行 Line Pay 帳戶的實時查核，或直接聯繫 Line Pay 客服進行確認。,80
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。 , 這種來電極有可能是詐騙。請千萬不要按照對方的指示進行轉帳，應立即挂斷電話，並向警方或相關機構舉報此類詐騙行為。,80
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。 , 這顯然是一通詐騙電話。建議您不要直接聯繫所提供的客服，應直接登入蝦皮賣場官方網站或APP檢查您的賣場設定，並且透過官方管道聯繫蝦皮客服進行確認。切勿提供任何個人資料或進行匯款。,80
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。 , 這顯然是詐騙電話，請不要按照對方的指示操作。請立即挂斷電話，並聯繫您的訂房網站或銀行以確認帳戶狀況。千萬不要在提款機上進行任何退款操作。,80
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。 , 這類電話通常是詐騙，請不要直接聯繫所提供的客服電話。應立即登入您的拍賣帳號，通過官方管道核實帳號狀態，並避免在電話中透露任何個人資訊。,80
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。 , 這顯然是一通詐騙電話。請不要按照對方的指示進行操作，應立即掛斷電話，並直接致電中華電信官方客服確認帳務狀況。不要向任何人透露您的個人資訊或進行任何轉帳行為。,80
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。 , 若收到此類來電，千萬不要隨便相信對方所說的任何信息。請直接致電您的信用卡客戶服務熱線查證真?，不要回覆詐騙電話或提供任何個人資料。,80
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。 , 這種來電極有可能是詐騙。請不要相信對方所言，不要進行任何匯款或提供個人資料，並立即挂斷電話，向相關機構舉報此類詐騙行為。,80
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。 , 這類電話很可能是詐騙。請不要直接在電話中透露任何個人資訊，應直接挂斷電話，並自行登入亞馬遜官方網站或APP檢查訂單，以確保帳戶安全。如有疑慮，可聯繫亞馬遜官方客服進行確認。,80
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。 , 這是一通詐騙電話，請千萬不要下載任何軟體或提供任何個人資料。應立即挂斷電話，並向警方或相關單位舉報此類詐騙行為。,80
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。 , 這種來電極有可能是詐騙。請不要依照對方的指示操作，應立即挂斷電話，並直接聯繫您的銀行或信用卡公司以確認帳戶狀況。不要透露任何個人資料。,80
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。 , 若遇到此類來電，請直接挂斷並不理會。建議您在任何情況下，不要隨意透露個人資料，並可致電玉山銀行官方客服電話進行核實。,80
您訂購的電影票因為系統維護，需要取消訂單並退款。 , 若接到該類電話，請不要隨意提供任何個人資料，並直接向原訂票平台或官方客服進行確認，切勿按照來電指示操作。勿輕信來電說詞，以免遭受詐騙。,80
網拍賣家通知：不好意思，工讀生把您的訂單誤植為批發商，會扣款12次。 , 這種情形很可能是詐騙，請不要依照來電指示進行任何操作。請直接聯繫官方客服確認訂單狀態，並勿透露任何個人資料或密碼。,80
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。 , 這種電話內容極有可能是詐騙。請不要依照對方的指示操作，應立即掛斷電話，並直接聯繫蝦皮官方客服或銀行進行確認。不要透露任何個人資訊。,80
你好，我是網拍小幫手，因為訂單誤植為12期分期，請依照指示解除。 , 若收到這樣的來電，請千萬不要依照對方指示操作，應立即挂斷電話，並透過官方管道或原購買平台核實訂單狀態，以防詐騙。,80
我是台電通知，您的電費沒繳，請按0轉接客服。 , 這顯然是一通詐騙電話。請不要按任何鍵或提供任何個人資料，直接挂斷電話，並立即致電台電官方客服電話查證真?。,80
我是亞馬遜安全部門，您的帳號有一筆異常的高額訂單，請確認是否為盜刷。 , 面對此類來電，千萬不要直接在電話中提供任何個人資料或進行任何操作。請立即挂斷電話，並自行登入官方亞馬遜網站或APP檢查帳戶狀況，若真有疑問，請直接聯繫亞馬遜客服進行確認。,80
您的網購訂單因為沒有通過實名認證，現在帳號被凍結，請提供個資解鎖。 , 這顯然是一通詐騙電話。請千萬不要提供任何個人資料，應立即挂斷電話，並向警方或相關機構舉報此詐騙行為。不要按對方指示進行任何操作。,80
您的Line Pay帳戶出現異常登入，為了防止盜刷，請提供剛剛收到的六位數驗證碼。 , 這種來電極有可能是詐騙。千萬不要提供任何驗證碼或個人資訊，應立即挂斷電話，並透過官方管道或APP檢查您的Line Pay帳戶是否真的出現問題。,80
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。 , 面對這種來電推銷股票並保證獲利的情況，請堅持不要輕信任何未經證實的投資推薦。請直接拒絕並立即挂斷電話，避免陷入詐騙陷阱。若感懷疑，可再向相關金融監管機構查證。,100
你好，我是虛擬貨幣投資顧問，現在比特幣大跌是進場好時機。 , 若遇到此類來電，建議您應直接挂斷電話，並警惕任何未經?求的投資建議，尤其是涉及虛擬貨幣的，避免上當受騙。,100
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。 , 面對這種以拉人頭為條件的投資詐騙來電，請千萬不要相信，並立即挂斷電話。切勿將朋友介紹進入，以防更多人受騙上當。同?，可以向相關部門舉報此類詐騙行為。,80
您的虛擬貨幣錢包涉及黑錢，請將幣轉到我們的審查地址。 , 這種電話明顯是詐騙，請千萬不要相信並直接挂斷電話。絕對不要將任何虛擬貨幣轉到陌生人的地址。,80
我們需要你幫忙代操股票，虧損算公司的，賺錢分你一成。 , 這種來電極有可能是詐騙，千萬不要輕信代操股票的承諾。請立即挂斷電話，並向相關機構舉報此類行為。不要提供任何個人資料或進行任何金錢交易。,100
為了我們結婚的夢想，你要勇敢一點，去貸款來投資也是值得的。 , 這種來電內容明顯是詐騙，切勿相信。千萬不要因為對方的甜言蜜語而貸款投資，應立即掛斷電話並報警。,80
我們是海外知名的外匯交易平台，現在開戶入金就送你一千美金的體驗金。 , 這顯然是一通詐騙電話。建議您不要輕信任何來自不明平台的入金獎勵，千萬不要提供任何個人金融資訊，並立即挂斷電話。,100
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。 , 這顯然是一通詐騙電話，建議您不要理會對方的任何指示，並立即挂斷電話。切勿透露任何個人資訊或進行任何金錢交易。若情況需要，可報警處理。,80
我是交易所客服，因為您的操作涉及洗錢，我們必須暫時保管您的資金。 , 這種來電極有可能是詐騙。請不要相信對方所說的任何資金暫時保管的要求，千萬不要提供任何個人資料或進行任何匯款操作。應立即掛斷電話，並向警方報案。,80
我們是代操公司，虧損由公司吸收，獲利我們五五分帳，你完全沒風險。 , 這種來電極有可能是詐騙。請不要輕信任何承諾無風險高回報的投資，應立即掛斷電話，並向相關機構舉報此類詐騙行為。切勿提供任何個人資料或進行任何金融交易。,100
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。 , 這種來電極有可能是詐騙。請不要回應任何個人資訊，直接挂斷電話，並且千萬不要按其指示進行任何操作。若懷疑帳戶安全，請直接聯繫正規的虛擬貨幣交易所官方客服進行核實。,80
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。 , 這種來電極有可能是詐騙，建議您不要隨意透露個人資訊，也不要進行任何匯款或轉帳操作。若懷疑遭受詐騙，請立即挂斷電話並報警。,80
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。 , 這種提及投資並承諾高大回報的電話很可能是詐騙。建議您不要相信對方任何財務上的提議，並立即挂斷電話，避免提供任何個人資訊。若懷疑為詐騙，可向警方報案。,100
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。 , 若收到這樣的來電，建議您要保持警覺，不要隨意相信陌生投資顧問的推銷。應該直接拒絕並挂斷電話，避免提供任何個人資訊或進行任何投資動作。若懷疑是詐騙，可以向警方或相關金融監管機構舉報。,100
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。 , 這種電話內容極有可能是詐騙。請不要輕信任何來自不熟悉或未經確認的投資機會，並立即挂斷電話，避免提供任何個人資料或進行任何金錢交易。若懷疑遭遇詐騙，請盡快聯繫警方報案。,100
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。 , 這顯然是一通詐騙電話，千萬不要相信對方的話，不要轉帳任何以太幣或個人資訊，並立即挂斷電話。避免任何未經證實的投資或贈與承諾。,80
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。 , 這種來電內容明顯是詐騙，請不要相信對方的話。建議您直接挂斷電話，並且不要回撥未知號碼，同時可以向警方或相關機構舉報此類詐騙行為。切勿透露任何個人資訊或進行任何形式的金錢轉賬。,80
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。 , 這種來電極有可能是詐騙。千萬不要相信任何要求先繳費用以獲得工作機會的電話，應立即挂斷並向相關機構舉報。,80
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。 , 這顯然是一通詐騙電話。建議您不要輕信任何要求投資或獲利的電話推銷，尤其是涉及到加密貨幣且不需經驗的職位。請直接挂斷電話，並避免提供任何個人資訊或進行任何金錢交易。若情況可疑，可向警方或相關金融監管機構舉報。,100
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。 , 若收到這樣的來電，請千萬保持警覺，這很可能是一通詐騙電話。請不要輕信任何「穩賺不賠」的投資保證，並立即掛斷電話，不要透露任何個人資料或進行任何金錢交易。,100
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。 , 面對這種宣稱保本高收益的投資來電，千萬要保持警覺，切勿輕信。請立即挂斷電話，並向相關金融監管機構舉報，避免上當受騙。,80
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？ , 面對這種明示或暗示涉及非法行為的電話詐騙，請立即挂斷電話，並記錄下來電號碼，向警方報案，切勿參與或提供任何個人資訊。保持警惕，不要被高額獲利誘惑，以免遭受法律責任。,80
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。 , 這明顯是一通詐騙電話，請不要相信對方的投資建議。請立即挂斷電話，並且不要回電或提供任何個人資訊。若情況重複發生，請向警方報案。,80
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。 , 面對此類提及未上市股票及內線消息的來電，千萬不要輕信，應立即掛斷電話，並且可以向警方或相關金融監管機構舉報此類詐騙行為。切勿隨意跟進投資，以防財務損失。,100
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。 , 面對這種宣稱能保證獲利300%的虛擬貨幣投資詐騙來電，千萬不要輕信，並立即挂斷電話。切勿隨意提供個人資料或進行任何金錢轉賬。建?向相關金融監管機構舉報此類詐騙行為。,100
,119,
