輸入,輸出,得分
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？,這是典型的網路交友詐騙，只靠社群帳號就自稱認識你並開口要錢一定有問題。不要匯款也不要再回應，直接封鎖帳號即可。,100
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。,這是典型的「假親友出事」詐騙，利用你擔心家人的心理要你馬上匯款。先不要匯錢，立刻掛掉並用你平常的方式主動聯絡真正的家人確認情況。,100
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。,這是常見的「冒充學校老師／教官」恐嚇詐騙，真正的校方不會用電話要求家長立即處理或匯錢。不要慌張，先掛電話，直接打給女兒或學校正式電話確認即可。,100
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。,這是典型的「投資＋戀愛包裝」詐騙手法，先以身分包裝取信再引導你投錢。不要回應也不要加入任何投資群組，直接封鎖對方即可。,100
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。,這是典型的「假親友換號」開場白，通常後面會以借錢、匯款為目的。不要急著相信，先掛電話，改用你平常的方式主動聯絡孩子確認是否真的手機壞掉。,100
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？,這是典型的「假親友住院要錢」詐騙，利用你的擔心讓你匯款。不要照做，立刻掛掉，並用你熟悉的方式主動聯絡真正的小陳或家人確認情況。,100
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。,這是典型的「情感操控＋投資詐騙」話術，企圖讓你與親友隔離、只相信他。立刻停止聯絡、不要匯款，也不要加入任何投資平台，必要時可直接封鎖對方。,100
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。,這是常見的「投資教學群組」誘騙手法，後續通常會要求你投入資金。不要加入陌生LINE群組，也不要點擊任何連結，直接忽略並刪除訊息即可。,100
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？,這是典型的「假親友秘密借錢」話術，用「不要告訴爸媽」讓你更容易相信。先別匯款，掛掉後用你平常的方式直接聯絡真正的家人確認情況即可。,100
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。,這是常見的「冒充老師」詐騙，真正的補習班不會要求家長電話匯款。先不要匯錢，立刻掛電話，改用你熟悉的方式直接聯絡孩子或補習班確認情況即可。,100
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。,這是典型的「假親友出車禍」詐騙，利用你的擔心讓你急著匯錢。不要照做，先掛電話，再用你平常的方式主動聯絡真正的姪子或家人確認即可。,100
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？,這是常見的假親友「車禍和解金」詐騙，不要慌也不要匯錢。立刻掛掉，用你習慣的方式主動聯絡真正的姪子或家人確認狀況。,100
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。,這是典型的「愛情＋家屬生病」詐騙，任何一開口要錢的網路關係都極高風險。不要匯款，立刻停止聯絡並封鎖對方。,100
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。,這種「久未聯絡的親戚突然急需用錢」是典型詐騙手法，請先掛電話並主動打給真正的親戚求證，千萬不要匯款或提供任何個人資訊。,100
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。,這是典型的投資詐騙話術，請不要依照指示買賣股票或加入任何群組，立刻掛電話並避免提供任何帳務資訊。,100
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。,這是常見的「假國稅局」詐騙，國稅局不會要求到 ATM 領退稅。請立刻掛電話、不要操作 ATM，也不要提供任何個資。,100
如果不配合我們調查，你的所有資產都會被法院查封。,這是恐嚇式的假檢警或假機關詐騙，真正的法院不會用電話威脅查封資產。請立即掛電話，不要提供帳戶或身分資訊。,100
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。,這是假冒監理單位的詐騙，監理站不會打電話威脅扣照。請掛掉電話並自行上監理服務網或用官方 App 查詢罰單，不要提供任何個資或付款資訊。,100
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。,這是假檢警詐騙常用的話術，真正的檢察官不會要求你「不得告知他人」。請立刻掛電話，勿提供個資或帳號，若擔心可自行撥打官方電話查證。,100
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。,這是典型的「假檢警＋要你去領錢」詐騙，請馬上掛電話，不要依照指示提領或轉帳，必要時可自行打官方電話查證。,100
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。,這是假冒法院的詐騙簡訊／電話，法院不會用這種方式通知也不會威脅拘提。請不要點連結或回撥，直接上法院官方網站或撥打客服查證即可。,100
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。,這是典型的「假親友求救」詐騙，請先掛電話並自行打給真正的家人確認身分，千萬不要匯款或依照對方指示行動。,100
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。,這是假冒貸款公司或車行的詐騙，真正的單位不會用電話逼你「立刻匯款」。請直接掛電話，並自行登入官方平台或致電客服查詢車貸狀況。,100
健保局通知：您的健保卡違規借給他人使用，即將停權。,這是常見的「假健保局」詐騙。不要回電、不提供任何個資，直接掛掉電話，若擔心可自行撥打健保局官方客服 1915 查證即可。,100
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。,這是典型的「假檢警」詐騙。真正的檢察官不會要求你轉帳或提供帳戶資料，請立刻掛斷，不要匯款，也不要透露任何個資，如需安心可自行撥打 165 或當地警局查證。,100
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。,這是常見的「假郵局＋假警察」詐騙。不要理會、不要回電，更不要提供住址或個資；若擔心，可直接用官方客服電話向郵局或警局查證。,100
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。,這是「假電信＋假警察」的技術型詐騙。真正的單位不會以電話要求你做檢查，請直接掛掉，不要下載任何程式，也不要提供手機或電腦的遠端權限。,100
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。,這是典型的「假包裹＋假警察」詐騙。請立刻掛掉、不要配合、不要透露任何個資；若真的擔心，可自行致電物流客服或165反詐騙專線確認。,100
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？,這是「假警衛＋假警察」的恐嚇詐騙。不要透露你是否在家，也不要回電或配合，直接掛掉；若擔心，可自行撥打社區管理室或當地警局官方電話查證。,100
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。,這是典型的「假健保＋假警察」恐嚇詐騙。請直接掛掉，不要匯款、不提供任何個資；如有疑慮，可自行撥打健保局客服 1915 或 165 專線查證即可。,100
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。,這是典型的「假海關」詐騙。海關不會用電話要求配合調查或轉帳，請直接掛掉，不要提供任何個資；若擔心，可自行撥打海關或165官方電話核實。,100
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。,這是常見的「假國稅局退稅」詐騙。真正的國稅局不會打電話要你提供帳戶或操作ATM，請直接掛掉，如需確認可自行撥打國稅局官方客服查證。,100
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。,這是「假法院」恐嚇詐騙。法院不會以電話通知法拍，更不會要求你主動聯繫執行官，請直接掛掉；若擔心，可自行用法院官方電話查證即可。,100
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。,這是常見的「網戀＋包裹卡關」詐騙。不要匯款、不要提供任何個資，直接拒絕；真正的海關不會透過陌生人代收關稅，有疑慮可打165查證。,100
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。,這是典型的「假刑事局＋假檢察官」詐騙。請立刻掛掉，不要提供任何個資或帳戶資料；若擔心，可直接自行撥打165或當地警局查證。,100
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。,這是「假冒家人求救」的常見詐騙。先冷靜掛掉電話，再用你熟悉的方式主動聯絡家人確認，不要匯款也不要提供個資。,100
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。,這是「假年金補助」詐騙手法。真正的公家機關不會要求提供存摺影本，請直接掛掉，不要提供任何資料；如需確認可自行撥打官方客服查證。,100
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。,這是典型的「假地檢署」恐嚇詐騙。請直接掛掉電話，不要提供任何個資或帳戶資訊；若擔心，可自行撥打警局或165反詐騙專線查證。,100
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。,這是「假快遞＋假海關」詐騙。不要匯款、不要提供個資，直接掛掉；如需安心，可自行撥打物流或海關官方客服查證。,100
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。,這是常見的「假勞保局退補款」詐騙。真正的勞保局不會以電話要求匯款，請直接掛掉，不要提供任何帳戶資料；若擔心，可自行撥打1955或勞保局官方電話查證。,100
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。,這是「假客服盜帳號」詐騙。請絕對不要提供驗證碼，直接掛掉；真正的客服不會主動來電索取驗證碼，如有疑慮請自行透過官方管道檢查帳號狀態。,100
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。,這是典型的「投資詐騙」。不要匯款、不要加入任何群組或下載APP，直接拒絕；真正的理專不會用電話推銷保證獲利的投資方案。,100
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。,這是「假盜刷通知」詐騙。不要提供卡號或個資，直接掛掉；若擔心，可主動打給你的信用卡背面客服電話查證即可。,100
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。,這是常見的「假冒保險專員推銷」詐騙。不要提供任何個資，也不要加入他提供的連結或方案，直接掛掉；若好奇可自行打給原保險公司官方客服確認。,100
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。,這是「假網購客服」詐騙。不要下載他給的APP、也不要提供帳戶或簡訊驗證碼，直接掛掉；如需確認，請自行透過蝦皮官方客服查詢訂單狀態。,100
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。,這是典型的「釣魚連結」詐騙。不要點擊任何連結，也不要輸入帳密或驗證碼，直接忽略；若擔心，可從官方Line Pay App或客服自行確認帳戶狀態。,100
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。,這是典型的「假網購＋要求驗證金」詐騙。真正的系統不會要你轉帳驗證，請直接掛掉，不要匯款；如需確認，可自行透過官方購物平台客服查詢訂單狀態。,100
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。,這是「假蝦皮客服」詐騙。不要點連結、不要提供帳號或驗證碼，直接忽略；若擔心賣場狀態，可自行從蝦皮App或官網的客服系統查詢即可。,100
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。,這是「假訂房網退款」詐騙。ATM 無法退款，任何叫你去提款機操作的都是騙局，請直接掛掉；若擔心，可自行登入官方訂房平台或打客服查證。,100
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。,這是「假二手平台客服」詐騙。不要點連結或提供任何帳號資訊，直接忽略；如需確認，可自行登入官方平台查看通知或聯繫真正的客服查證。,100
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。,這是「假中華電信客服」詐騙。不要提供任何資料，也不要依照指示操作，直接掛掉；若擔心欠費，可自行撥打中華電信客服 123 查詢即可。,100
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。,這是「假異常交易」詐騙。不要提供卡號或驗證碼，直接掛掉；若擔心卡片安全，可主動撥打信用卡背面的官方客服電話查證。,100
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。,這是「假遊戲客服」詐騙。真正的客服不會要求繳保證金，請直接掛掉，不要提供帳號密碼或任何付款資料；如需確認，請自行登入官方遊戲平台查詢通知即可。,100
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。,這是常見的「假跨國訂單」詐騙。不要提供任何帳號資料或驗證碼，直接掛掉；若擔心訂單異常，可自行登入亞馬遜官方網站或App查看是否真的有該筆訂單。,100
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。,這是高風險的「假客服＋要求遠端控制」詐騙。請立刻掛掉，絕對不要下載 TeamViewer 或提供任何驗證碼；Line Pay 不會要求遠端監控手機，有疑慮請自行透過官方客服查證。,100
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。,這是「假分期設定」詐騙。不要理會、不要操作ATM或提供任何資料，直接掛掉；如有疑慮，可自行致電銀行官方客服確認帳務狀況即可。,100
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。,這是「假冒銀行專員推銷」的常見詐騙。不要提供任何個資或財務資料，直接掛掉；若好奇是否真有方案，可自行撥打玉山銀行官方客服查證即可。,100
您訂購的電影票因為系統維護，需要取消訂單並退款。,這是「假退款」詐騙。不要提供帳戶資訊，也不要依照指示操作ATM，直接掛掉；如需確認，請自行登入官方售票平台查詢訂單狀態即可。,100
網拍賣家通知：不好意思，工讀生把您的訂單誤植為批發商，會扣款12次。,這是「假網拍客服」詐騙。不要下載他提供的APP、不要提供帳號或驗證碼，直接掛掉；若擔心訂單問題，可自行登入官方購物平台查詢即可。,100
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。,這是「假資安人員」詐騙。不要提供帳號或驗證碼，也不要點任何連結，直接掛掉；如需確認，可自行登入蝦皮官方App查看帳號安全通知即可。,100
你好，我是網拍小幫手，因為訂單誤植為12期分期，請依照指示解除。,這是「假網拍客服」詐騙。不要照做、不要操作ATM或提供任何資料，直接掛掉；如擔心訂單狀況，可自行登入官方平台查看真正的訂單資訊即可。,100
我是台電通知，您的電費沒繳，請按0轉接客服。,這是「假台電欠費」詐騙。不要按0、不要提供個資，直接掛掉；若擔心欠費，可自行撥打台電1911或查看官方帳單確認即可。,100
我是亞馬遜安全部門，您的帳號有一筆異常的高額訂單，請確認是否為盜刷。,這是「假異常訂單」詐騙。不要提供帳號、卡號或驗證碼，直接掛掉；若擔心帳號安全，可自行登入亞馬遜官方網站或App查看是否真的有該筆訂單。,100
您的網購訂單因為沒有通過實名認證，現在帳號被凍結，請提供個資解鎖。,這是「假網購實名認證」詐騙。不要提供任何個資，也不要點擊任何連結，直接掛掉；如需確認帳號狀態，請自行登入官方購物平台查看通知即可。,100
您的Line Pay帳戶出現異常登入，為了防止盜刷，請提供剛剛收到的六位數驗證碼。,這是「假客服盜帳號」詐騙。絕對不要提供驗證碼，直接掛掉；真正的 Line Pay 不會主動要求驗證碼，有疑慮請自行從官方 App 檢查帳戶狀態。,100
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。,這是典型的「股票投資詐騙」話術。不要聽從、不要匯款，也不要加入任何投資群組，直接拒絕；真正的投資不可能保證獲利。,100
你好，我是虛擬貨幣投資顧問，現在比特幣大跌是進場好時機。,這是「假虛擬貨幣投資」詐騙。不要加入群組、不要匯款，也不要下載不明APP，直接拒絕；真正的專業投顧不會用電話主動推銷投資。,100
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。,這是「老鼠會／傳直銷式」投資詐騙。不要加入、不要拉人頭，也不要匯款，直接拒絕；這類模式高度違法且風險極高，務必遠離。,100
您的虛擬貨幣錢包涉及黑錢，請將幣轉到我們的審查地址。,這是高風險的「假虛擬貨幣調查」詐騙。不要轉幣、不要提供錢包私鑰或助記詞，立刻掛掉；真正的單位不會要求把幣轉到所謂的審查地址。,100
我們需要你幫忙代操股票，虧損算公司的，賺錢分你一成。,這是「代操股票」詐騙。不要提供帳號密碼、不要匯款，也不要加入他們的群組，直接拒絕；真正的金融機構不會用這種方式招募代操。,100
為了我們結婚的夢想，你要勇敢一點，去貸款來投資也是值得的。,這是「網戀情感勒索＋投資詐騙」。請立刻中斷聯絡、不要借貸也不要匯款；真正在乎你的人不會逼你為投資去負債。,100
我們是海外知名的外匯交易平台，現在開戶入金就送你一千美金的體驗金。,這是典型的「假外匯平台」詐騙。不要開戶、不要入金、不要下載他們的APP，直接拒絕；真正的合法平台不會用送體驗金來吸引投資。,100
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。,這是「假博弈漏洞」詐騙。不要加入、不要匯款，也不要下載他們的程式，立刻拒絕；所謂「穩賺不賠」就是最大的警訊。,100
我是交易所客服，因為您的操作涉及洗錢，我們必須暫時保管您的資金。,這是「假交易所客服」詐騙。不要提供帳密、不要轉幣或匯款，直接掛掉；真正的交易所不會以洗錢為由要求「暫時保管」你的資產。,100
我們是代操公司，虧損由公司吸收，獲利我們五五分帳，你完全沒風險。,這是典型的「代操投資」詐騙。不要交出帳密、不要匯款，也不要加入群組，直接拒絕；真正的投資沒有「完全無風險」這件事。,100
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。,這是「假交易所客服」詐騙。不要提供私鑰、助記詞或任何帳戶資訊，直接掛掉；如需確認錢包狀態，請自行登入官方交易所或錢包App查證即可。,100
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。,這是「假交易所客服＋情感話術」的雙重詐騙。不要信、不要匯款，也不要提供任何錢包資訊，立刻中斷聯繫；真正關心你的人不會用感情逼你交出資產。,100
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。,這是典型的「網戀＋投資詐騙」話術。不要被情緒綁架，立刻停止聯繫、不要匯款；真正的感情不會用買房夢想逼你投資。,100
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。,這是「假投顧推銷飆股」詐騙。不要加入群組、不要匯款，也不要提供任何個資，直接掛掉；合法投顧不會用電話主動推銷所謂的「飆股」。,100
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。,這是「假冒伴侶＋投資詐騙」的話術。不要被情緒操控，先掛掉並自己聯絡真正的伴侶確認，不要匯款、更不要加入任何投資計畫。,100
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。,這是「假加密貨幣贈送」詐騙。不要轉幣、不要提供錢包資訊，直接無視；真正的大戶不會要你先匯錢才能「散財做公益」。,100
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。,這是「網戀＋投資詐騙」的典型話術。不要被甜言蜜語影響，立刻停止聯絡、不要匯款；真正可信的人不會用「我養你」來逼你投資。,100
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。,這是「假工作＋先付費」詐騙。不要繳費、不要提供證件影本，直接拒絕；真正的工作不會要求你先付錢才能錄取。,100
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。,這是「假操盤手招募」詐騙。不要提供帳密、不要匯款，也不要加入他們的群組，直接拒絕；真正的金融交易工作不會保證獲利還分帳。,100
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。,這是「假投顧＋虛擬貨幣」詐騙。不要加入群組、不要匯款，也不要提供任何帳戶資訊；真正的投資不可能「穩賺不賠」，直接拒絕即可。,100
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。,這是典型的「保本高收益」投資詐騙。不要匯款、不要加入任何群組或下載APP；真正的投資不可能保證高報酬，直接拒絕即可。,100
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？,這是「非法工作／詐騙招募」的陷阱。不要加入、不要提供任何個資，立刻拒絕；真正的工作不會遊走法律邊緣，更不會用刺激話術逼你上鉤。,100
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。,這是「網戀＋投資詐騙」的常見話術。不要被甜言蜜語騙走理智，立刻停止聯絡、不要匯款；真正愛你的人不會用投資逼你掏錢。,100
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。,這是「內線消息／未上市股票」詐騙。不要相信、不要匯款，也不要加入任何投資群組；真正的內線消息不可能用電話外流，直接掛掉即可。,100
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。,這是典型的「虛擬貨幣暴漲保證獲利」詐騙。不要匯款、不要加入群組，也不要下載不明APP；任何宣稱「保證獲利」的加密投資都極可能是陷阱。,100
,,10000
