輸入,輸出,得分
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。 , 請勿相信此類訊息，虛擬貨幣交易所不會主動致電通知錢包被凍結。請立即掛斷電話，並透過官方管道（如官方APP或網站）確認帳戶狀態，切勿提供任何個人資料或進行轉帳。,100
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。 , 請勿提供任何驗證碼，Line Pay不會主動撥打電話要求提供驗證碼，此為常見詐騙手法。請立即掛斷並透過官方Line Pay APP內的客服管道確認帳號狀態。,100
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。 , 請先冷靜，不要立即匯款。建議立即撥打您家人的手機，確認是否真的發生意外，或先與其他親屬聯繫確認情況，避免被詐騙。,100
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。 , 請勿相信，國稅局不會透過電話要求您到ATM操作領款。請立即掛斷電話，並撥打財政部國稅局免付費服務專線「0800-000-321」確認是否真的有退稅。,100
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。 , 請先冷靜，這很可能是詐騙。請勿立即匯款，應先透過其他管道（如視訊、電話或親友確認）確認對方真實情況，避免遭騙。,100
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。 , 這類「穩賺不賠」的投資誘導極可能是詐騙，請立即掛斷電話，切勿提供任何個人資料或金錢資訊。若有疑慮，可撥打財政部金融局專線（0800-080-010）或內政部警政署反詐騙諮詢專線（165）確認。,0
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。 , 請勿相信此類電話，學務相關事項絕不會要求透過提款機操作補正。請立即掛斷並撥打學校正式客服電話確認。,100
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。 , 這類話術是常見的投資詐騙手法，請勿輕信。若對方要求轉帳、下載不明APP或提供個人資料，請立即掛斷電話，並向警方或金融機構檢舉。,80
網拍賣家通知：不好意思，工讀生把您的訂單誤植為批發商，會扣款12次。 , 請勿輕信此類訊息，建議立即致電原網拍賣家官方客服確認訂單狀況，切勿提供任何個人資料或進行轉帳操作。,80
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。 , 請勿輕信來電內容，若無法確認對方身份，建議掛斷電話後主動撥打對方過去的聯絡方式確認。遇到類似「猜我是誰」的語氣，極可能是詐騙手法，切勿提供個人資訊或金錢。,100
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。 , 請勿相信此類訊息，台灣的訂房平台不會透過電話要求您操作提款機退款。若懷疑遭詐騙，請立即掛斷電話，並撥打165反詐騙專線確認。,80
為了我們結婚的夢想，你要勇敢一點，去貸款來投資也是值得的。 , 這類話術是典型的婚戀詐騙陷阱，切勿輕信。請立即掛斷電話，不要貸款或轉帳，並可向警方或反詐騙諮詢專線（0800-001-999）報案。,0
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。 , 請先冷靜，這類「親戚在機場失物借錢」的電話常是詐騙手法。建議您立即掛斷電話，並主動撥打親戚的電話確認狀況，切勿直接轉帳或提供任何金錢資訊。,100
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？ , 這類「熟人借錢」的電話很可能是詐騙，建議您不要輕信，可直接掛斷並提醒家人注意防範。若懷疑是詐騙，可撥打165反詐騙專線查詢。,80
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。 , 請立即掛斷電話，切勿下載任何遠端操控軟體。此為常見詐騙手法，Line Pay不會要求遠端監控手機，請勿提供任何個人資訊或下載可疑應用程式。,100
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。 , 請先冷靜，並立即聯繫您真正的親屬確認情況，切勿輕易轉帳。此類「碰瓷」詐騙常利用親情關係誘騙金錢，務必謹慎查證。,100
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。 , 請勿輕信此類來電，蝦皮官方不會以電話方式通知訂單設定問題。建議立即登入蝦皮APP查看訂單狀態，並透過官方客服管道確認，切勿提供任何個人資料或按指示操作。,100
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。 , 這類電話極可能是詐騙，臺灣法院不會以電話通知開庭，更不會要求立即到庭或恐嚇拘提。請勿驚慌，立即掛斷電話，並撥打165反詐騙專線或110報案，以確認是否為詐騙。,80
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？ , 這類「猜猜我是誰」的電話多為詐騙套路，請勿輕信。若對方無法說出具體事由或無法確認身份，請直接掛斷，切勿提供任何個人資料或金錢資訊。,100
我們是海外知名的外匯交易平台，現在開戶入金就送你一千美金的體驗金。 , 這類「開戶送體驗金」的電話多為詐騙，請勿輕信並立即掛斷。若已提供個人資料或金錢，請立即向警方或金融機構報案。,100
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。 , 請立即掛斷電話，此為常見詐騙手法。健保卡被盜用或警方逮捕等說法均不實，切勿匯款或提供個人資料。如有疑慮，請撥打165反詐騙專線或就近向警察局報案確認。,100
您的虛擬貨幣錢包涉及黑錢，請將幣轉到我們的審查地址。 , 請勿轉帳！此為常見詐騙手法，虛擬貨幣錢包不會被官方單位要求轉帳至所謂「審查地址」。請立即掛斷電話，並向金融監理機構或警方報案。,100
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？ , 請先冷靜，不要立刻答應。可先以「我需要確認一下你是誰」為由，要求對方提供一些只有真正親戚才會知道的私人資訊來確認身分，例如共同的童年往事或家中的秘密密碼。若對方無法回答，極可能是詐騙。,80
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。 , 請立即掛斷電話，此為常見詐騙手法。切勿前往銀行或轉帳，請撥打165反詐騙諮詢專線確認。,80
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。 , 請立即掛斷電話，不要提供任何個人資料，並儘速撥打165反詐騙專線或110報案，確認是否真的有案件。此類通話多為偽冒公務人員的詐騙手法。,80
您訂購的電影票因為系統維護，需要取消訂單並退款。 , 請勿輕信此類電話，電影票訂購後若需退款，官方通常不會透過電話要求取消訂單。建議您直接聯繫原訂票平台或影院官方客服確認，避免個資外洩或金錢損失。,100
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。 , 請勿輕信，此為常見詐騙手法。請立即掛斷電話，並向警方或165反詐騙專線報案。,60
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。 , 請先冷靜，不要慌張，先確認對方說的是否符合事實，例如可問「你手機怎麼會掉進水裡？」或「你現在在哪裡？」，若對方回答含糊或無法說出細節，極可能是詐騙。建議立即掛斷電話，並撥打165反詐騙諮詢專線或110報案。,80
你好，我是虛擬貨幣投資顧問，現在比特幣大跌是進場好時機。 , 這通電話很可能是詐騙，請勿輕信「虛擬貨幣投資顧問」的建議。建議立即掛斷電話，並向金融監理機構或警方報案，避免財產損失。,100
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。 , 這類「保證高回酬」的投資訊息很可能是詐騙，請勿輕信。建議立即掛斷電話，並可向金融機構或警方查證，避免財產損失。,100
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。 , 這明顯是詐騙！請立即掛斷電話，千萬不要轉帳或提供任何個人資料。以太幣無法「還十顆」，純屬誘騙謊言。,80
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。 , 這類「繳費就能獲高報酬工作」的訊息極可能是詐騙，請勿輕信或付款。建議立即掛斷電話，並向警方或防詐騙專線（0800-001-999）反映。,0
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。 , 這是典型的詐騙手法，台灣的檢察官不會以電話方式要求轉帳或凍結資產。請立即掛斷電話，並撥打165反詐騙諮詢專線確認，切勿進行任何資金操作。,100
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。 , 這類「免費教學」的誘因可能是詐騙陷阱，請勿輕易加入來電人提供的LINE群組。建議直接掛斷電話，並可向警方或防詐騙專線（如165）反映，避免個資外洩或遭詐騙。,100
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。 , 這類訊息極可能是詐騙，請勿相信並立即掛斷電話。千萬不要依照對方指示操作，更不要提供任何個人資料或金錢資訊。,60
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？ , 這類訊息很可能是詐騙，請勿回應或轉帳。若對方持續騷擾，可直接掛斷並通報警方或防詐騙專線（165）。,80
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。 , 請勿相信此類通話，臺灣警方不會以電話方式要求配合「網路檢查」或提供個人資料。若接到類似詐騙電話，請立即掛斷，並撥打165反詐騙專線確認。,80
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。 , 請勿輕信此類電話，台灣法院不會以電話通知法拍事宜。請立即掛斷並撥打法務部司法官學院專線或當地法院電話確認，切勿提供個人資料或金錢。,100
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。 , 這類話術是典型的投資詐騙陷阱，請立刻掛斷電話，千萬不要轉帳或提供任何個人資料。若已提供資訊，請立即聯繫銀行與警方報案。,100
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。 , 請立即掛斷電話，並儘快聯繫學校官方管道或老師確認情況，切勿輕信陌生來電內容。若懷疑遭詐騙，可撥打165反詐騙專線查詢。,80
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。 , 這類訊息極可能是詐騙，請勿回應或點擊任何連結，建議立即掛斷並向警方或防詐騙專線（165）通報。,80
我們需要你幫忙代操股票，虧損算公司的，賺錢分你一成。 , 這類「代操股票、賺錢分成」的電話極可能是詐騙，請勿相信並立即掛斷。若已提供個人資料或金錢，請盡快向警方或金融機構報案。,100
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。 , 請勿提供存摺影本，政府機關不會透過電話要求提供個人資料或存摺影本。如有疑問，請直接撥打官方電話（如勞動部1957）確認。,0
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。 , 這類訊息極可能是詐騙，請勿輕信「保證獲利」或「下一個比特幣」等誇大言詞。建議立即掛斷電話，並勿提供任何個人資訊或進行任何投資操作。,100
您的網購訂單因為沒有通過實名認證，現在帳號被凍結，請提供個資解鎖。 , 請勿提供任何個人資料，此為常見詐騙手法。請立即掛斷電話，並向購物平台官方客服查證，或撥打165反詐騙專線確認。,80
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。 , 這類「保證賺錢」的股票推薦極可能是詐騙，請立即掛斷電話，勿輕信任何「穩賺不賠」的說法。建議您查閱證券交易相關資訊，並向證券公司或金融機構確認，避免財務損失。,100
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。 , 請勿輕信，此為常見投資理財詐騙手法。建議立即掛斷電話，並勿提供任何個人資料或金錢資訊。如有疑慮，可撥打防詐騙專線165查證。,100
我們是代操公司，虧損由公司吸收，獲利我們五五分帳，你完全沒風險。 , 這類「保證獲利、風險由公司承擔」的投資廣告極可能是詐騙，請勿輕信。建議立即掛斷電話，並向防詐騙專線（0800-001-999）通報。,0
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。 , 請勿驚慌，這很可能是詐騙電話。請立即掛斷，並撥打郵政局官方客服電話或當地警察局確認，切勿提供個人資料或按指示行動。,80
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。 , 請勿提供任何帳號密碼，此為常見詐騙手法。請立即掛斷電話，並通知公司資訊安全單位確認是否真有系統檢查需求。,80
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。 , 這類電話極可能是詐騙，勞保局不會要求民眾主動匯款退款。請勿相信並立即掛斷電話，可撥打勞保局官方客服電話（1925）確認，切勿提供個人帳戶或金融資訊。,0
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。 , 請勿輕信，可主動掛斷並撥打保險公司官方電話確認，避免個資外洩或遭詐騙。,80
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。 , 請勿相信此通電話，中華電信不會以即時語音通知停話。請立即掛斷並撥打官方客服電話（0800-070-220）確認帳務狀況。,0
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。 , 這通電話很可能是詐騙，請勿相信，切勿提供任何金錢或帳戶資訊。建議立即掛斷電話，並可向警方或金融機構檢舉。,80
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。 , 這類「保本高收益、月息10%」的投資廣告極可能是詐騙，台灣合法投資產品幾乎不可能提供如此高利率。請立即掛斷電話，不要提供任何個人資料或金錢資訊，並可向金融監理機構（如金管會）或警方檢舉。,100
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。 , 請立即聯繫孩子的學校或家長會確認情況，切勿輕信來電內容，更不要立即匯款。若懷疑是詐騙，請立即掛斷並撥打165反詐騙專線查證。,100
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。 , 請勿輕信，立即掛斷電話，並直接撥打該百貨公司官方客服電話確認帳戶狀況。若確認為詐騙，請立即向警方或金融機構報案。,100
