Column1,new,
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。, 這是典型的比特幣投資詐騙話術，臺灣常見的「假投資真詐財」集團。  請直接掛斷電話、不要加任何LINE或點擊對方提供的連結，並立刻向165反詐騙專線檢舉。,100
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。, 遇到對方說「保本高收益、一個月10%利息、穩賺不賠、比定存好太多」這類話術，99.9%是詐騙！  請立刻掛斷電話、不要加任何LINE，不要點任何連結，也不要匯款，直接向165反詐騙專線或警方檢舉，就能保護自己。,100
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？, 這是典型的詐騙集團招募「車手」或「人頭戶」的話術，直接掛斷並拉黑，絕對不要回覆或好奇問下去。  若對方已加你通訊軟體，立即向警方檢舉（撥165或線上報案），並向親友提醒這類「高獲利灰產」邀約100%是詐騙。,100
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。, 這是典型的詐騙「豬屠盤」甜言蜜語＋誘導投資套路，千萬不要相信對方、不要點任何連結、不要轉帳或下載不明App。立刻掛斷電話、封鎖號碼，並向「165反詐騙專線」或警局檢舉。,100
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。, 這是典型的未上市股票詐騙話術，臺灣常見的「內線消息＋主力收籌碼＋要快」三件套，千萬不要相信，也不要加任何LINE或匯款。直接掛電話、拉黑號碼，若已經加入群組或匯錢，立即撥打165反詐騙專線報案。,100
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。, 這通電話是典型的虛擬貨幣投資詐騙，絕對不要相信「保證獲利300%」或「下一個比特幣」這類話術。  請直接掛斷、拒絕加入任何LINE群或點擊對方傳的連結，並向165反詐騙專線檢舉。,100
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？, 這是典型的「猜猜我是誰」詐騙電話，千萬別猜也別承認對方是誰！  直接回「你誰啊？我不認識你」然後立刻掛電話並拉黑，絕對不要匯款或給任何個資。,100
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。, 立即掛斷電話，撥打家用電話或親友手機確認孫子安危，絕對不要匯款給陌生帳戶。,80
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。, 這是典型的「假老朋友借錢」詐騙電話，千萬不要直接匯款或轉帳！正確做法：冷靜回他「你哪位？我們多久沒聯絡了？我怎麼完全沒你新號碼？」或者直接說「我現在不方便，先掛了」，然後立刻掛斷、拉黑，再也不要回撥或加任何LINE，保護自己最重要！,100
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？, 直接冷靜回覆：「你打錯了，我不認識你。」然後立刻掛斷並拉黑這個號碼。  千萬不要匯款、不要加LINE、不要給任何個資，這是臺灣最常見的「假舊識借款」詐騙手法！,100
你好，我是你姪子，我換手機號碼了，原本那支停用了。, 如果你接到這種「你好，我是你姪子（外甥／表弟等），我換手機號碼了，舊號停用」的來電，千萬別急著回覆或加LINE！正確做法只有一句：直接回「哦，等我打給阿姨（媽媽／舅舅）確認一下」，然後掛電話，再打給你真正的親戚查證，99%這就是詐騙！,100
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？, 這是典型的「殺豬盤」感情詐騙，直接掛斷電話並拉黑對方，絕對不要轉帳任何金額。  如果對方已掌握你的個資或持續騷擾，立即向臺灣警方反詐騙專線「165」或線上報案（165.gov.tw）檢舉。,100
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。, 請立刻回覆對方：「公司規定，系統管理員絕對不會用電話索取密碼，這是詐騙！」然後直接掛斷，並向公司資訊部門或165反詐騙專線檢舉，千萬不要說出任何密碼或驗證碼。,80
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。, 這是典型的「假冒教務處＋誘導操作ATM」的詐騙電話，千萬不要相信！正確做法只有一句話：立刻掛斷電話，然後親自打回學校教務處的官方電話（或到學校網站查詢的公開號碼）確認，絕對不要去提款機操作任何東西。,100
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？, 這是典型的「猜猜我是誰」詐騙開場，千萬別猜名字或說出任何個人資訊，直接冷靜回：「你誰啊？我不認識你。」然後立刻掛斷並拉黑，別給對方任何繼續套話的機會。  在臺灣遇到這種電話，記得立刻向165反詐騙專線檢舉喔！,100
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。, 遇到「猜猜我是誰？」「我是你老同學」的開場，直接冷冷回一句：「你哪位？說名字。」對方如果支支吾吾、繼續裝熟或轉話題，就立刻說「你打錯了」然後直接掛電話，絕對不要給個資、不要加LINE，也不要回撥任何號碼，這是臺灣最常見的詐騙話術之一。,100
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？, 這是典型的「IG認識的模特兒/美女」養豬詐騙開場白，直接無視或已讀不回最安全。  千萬別轉帳、別點任何連結，也別加LINE，直接封鎖檢舉就好，臺灣人常見的詐騙套路，遇到了就當沒這回事！,100
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。, 千萬別慌，也別直接匯款！  立刻打電話給你弟弟或姪子本人（用你原本存的手機號碼撥打）確認是否真的出車禍，若對方說「手機壞了不能講電話」或一直催你匯錢，就是詐騙，直接掛電話並報警165。,80
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。, 這是典型的「假冒校方＋虛構急難」詐騙電話，千萬不要慌張或匯款。請立刻掛斷電話，然後親自打給您女兒的手機或學校教務處／導師查證真偽，臺灣絕對不會用這種方式直接向家長要錢或要求轉帳。,100
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。, 這是典型的交友詐騙「豬屠盤」開場白，千萬別回應或點擊任何連結。立即掛斷電話、封鎖號碼，並向警方165反詐騙專線檢舉。,100
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。, 千萬不要相信！這是超級常見的「假兒子借手機」詐騙開場白。正確做法只有一句話：直接冷冷回「喔，那你先打給爸爸（或另一位家人）看看」，然後馬上掛掉，再用你原本就知道的真正兒女手機或LINE聯絡確認，絕對不要匯款或給任何個資。,100
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？, 這是典型的「假親戚急需手術費」詐騙電話，千萬別匯款！  請立刻回撥你真正侄子（小陳）的常用手機號碼確認，或直接打給其他家人查證，絕對不要相信來電顯示或對方任何理由阻止你聯絡本人。,100
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。, 這是典型的「豬宰盤」詐騙話術，對方正用「隔絕親友＋製造嫉妒」來操控你，千萬別再相信他或轉帳！  立刻停止所有聯繫、保留對話紀錄，並向165反詐騙專線或刑事局反詐騙專頁檢舉。,100
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。, 這是典型的「假投資老師」詐騙手法，千萬不要加任何來電要求的LINE群組。  直接掛斷電話、拉黑號碼，若已經加了群組請立刻退群並向165反詐騙專線檢舉。,100
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？, 千萬別匯款！這是經典的「假親戚急需用錢」詐騙，立刻回撥給你真正的侄子/侄女（或他爸媽）確認身份，絕對不要在電話裡直接轉帳或給驗證碼。接到這種電話，直接說「我打給你媽媽確認一下」就會嚇跑騙子。,100
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。, 立刻冷靜掛斷電話，然後直接打給您孩子的手機或學校、補習班確認孩子是否真的出事，絕對不要匯款或提供任何個資給對方。  這是臺灣最常見的「假綁架／假車禍」詐騙手法，99%都是騙局，先查證再說！,100
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。, 立刻掛斷電話，然後打給你真正認識的那個姪子（或他父母）確認是否出事，千萬不要匯任何錢，也不要給對方任何個資或匯款帳號。這是經典的「假冒親戚車禍急需和解金」詐騙，臺灣每天都有人遇到，記住：真的親人不會用這種方式跟你借錢！,100
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？, 立刻掛斷電話，然後打你姪女原本的手機或家裡電話確認她是否真的換號或需要借錢。  千萬別直接轉帳，臺灣常見的「假親戚借錢」詐騙就是用這種「手機壞了、用朋友電話」當開場白。,100
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。, 這是典型的網戀豬仔詐騙變種，千萬不要相信，也不要匯任何錢。請立刻停止聯繫、封鎖對方所有帳號，並向反詐騙165專線或刑事局165反詐騙臉書檢舉，保護自己也保護別人。,100
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。, 這是經典的「假親戚機場借錢」詐騙，千萬不要直接匯款！正確做法：先冷靜掛斷電話，立即用你原本存的號碼打給這位「親戚」本人查證，或打給其他家人確認，絕對不要相信來電者提供的任何聯絡方式或帳戶。,100
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。, 當接到宣稱「老師指示現在馬上買進，十分鐘後準時賣出，做短線價差」的來電時，請採取以下做法：請堅決拒絕任何要求立即下單或匯款的指示，並掛斷電話。這種急迫要求在短時間內買進賣出的說法，通常是詐騙集團慣用的手法，目的是製造壓力，讓您在沒有時間思考或驗證的情況下，將資金匯入指定的帳戶。建議您這樣做：1. **不要立即採取任何行動**：無論對方如何強調「機會稍縱即逝」或「老師的指示絕對正確」，都不要在電話中進行任何買賣操作或轉帳。2. **驗證來源**：掛斷電話後，透過官方管道獨立聯繫您所使用的證券商或投資平台，確認是否有任何所謂的「老師指示」或交易要求。切勿使用對方提供的電話號碼進行聯繫。這種手法屬於典型的「投資詐騙」，常見於假冒證券分析師或操盤手的電話，透過製造緊急感和獲利假象，誘騙投資人將資金提領出來進行「短線操作」，最終導致資金被轉移至詐騙集團的帳戶。,100
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。, 這是經典的國稅局退稅詐騙！請直接掛斷電話，千萬不要去ATM操作。  國稅局絕對不會叫你去ATM領退稅，正確退稅會直接匯入你指定的銀行帳戶，如有疑問請撥打財政部北區國稅局免費電話0800-000-321確認。,0
如果不配合我們調查，你的所有資產都會被法院查封。, 若接到威脅「不配合調查即查封資產」的來電，請立即掛斷並撥打165反詐騙專線報案，勿提供任何個人資料或轉帳。,100
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。, 這是常見的假冒監理所詐騙電話，正規監理單位絕不會用電話直接通知「即將扣押駕照」或要求你轉帳、操作ATM。正確做法：直接掛斷電話，撥打監理服務網客服專線 0800-000-678（手機請撥 412-1111）或上「監理服務網」查詢真實罰單紀錄，千萬不要點任何連結或提供個資、轉帳。,0
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。, 這是標準的「假檢察官詐騙」開場白，臺灣常見高風險話術。  請立刻掛斷電話，撥打165反詐騙專線或110報警，千萬不要相信「偵查不公開」這句話，也絕對不要轉帳或交出任何個資、存摺、手機。,100
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。, 這是經典的假檢警詐騙，千萬不要相信，也不要去銀行。  請立刻掛斷電話，然後撥打165反詐騙專線或110報警，讓警察幫你確認，絕對不要聽對方指示操作。,100
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。, 這是典型的「假檢察官／法院傳票」詐騙電話，千萬不要相信！  正確做法：直接掛斷電話，撥打165反詐騙專線或110報警查證，絕對不要理會對方任何要求，也不要回電他們提供的號碼。,100
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。, 這是典型的「假冒孫子急需保釋金」詐騙電話，千萬不要相信或匯款！正確做法只有一句：立刻掛斷電話，然後打給你真正的孫子（或他父母）確認狀況，絕對不要理會對方任何要求。,100
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。, 這是典型的假冒銀行或法院的「車貸拖吊詐騙」，千萬不要匯款！  請直接掛斷電話，並立刻撥打你的貸款銀行官方客服電話（或165反詐騙專線）查詢實際繳款狀況，絕對不要相信對方提供的任何聯絡方式或帳號。,100
健保局通知：您的健保卡違規借給他人使用，即將停權。, 這是典型的健保詐騙電話，健保署絕對不會用電話直接通知「停卡」或要求你操作ATM、轉帳、提供個資。正確做法：直接掛斷電話，撥打健保署專線 0800-030-598 或 4128-678（手機撥 02-4128-678）確認，千萬別理會對方任何指示。,100
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。, 這是典型的「假檢察官詐騙」！千萬不要轉帳，也不要提供任何個資或銀行資料。正確做法：直接掛斷電話，撥打165反詐騙專線或110報警查證，絕對不要相信對方說的「安全帳戶」或「監管帳戶」。,100
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。, 這是經典的「假郵局＋假警察」詐騙電話，千萬不要慌！  請直接掛斷電話，撥打165反詐騙專線或110報警查證，絕對不要按任何指示、不要給個資，也不要讓對方用LINE或遠端操控你的手機。記住：真正的郵局和警察永遠不會用電話說「有違禁品要抓你」。,100
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。, 這是常見的「假冒電信警察」詐騙！請立刻掛斷電話，千萬不要聽從對方指示操作電腦、手機或開啟任何遠端軟體。  如有疑慮，請撥打真正警政署反詐騙專線「165」或中華電信客服「0800-080-123」查詢，絕對不要回撥來電號碼。,100
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。, 直接掛斷電話，然後撥打165反詐騙專線或警政署官方電話1919確認，千萬不要按任何鍵、不要轉接，也不要相信對方說「不要掛斷」的要求，這是經典的「假檢警＋假毒品包裹」詐騙手法，在臺灣每天都有人被騙走幾十萬到幾百萬。  安全做法就一句：聽到「包裹夾毒」「轉接刑警」就立刻掛掉，絕對不要繼續聽！,100
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？, 如果是陌生人打電話自稱警衛或警察，說有警察拿搜索票要進你家，千萬不要回答「我在不在家」，直接冷靜回：「搜索票請走正規程序，由派出所直接聯絡我或我家人」，然後立刻掛斷，並撥165或?打110向警察確認，絕對不要開門。  這是常見的詐騙話術，目的是確認你獨自在家，好進行後續恐嚇或假冒警察詐財，記住一句話：真正的警察絕對不會用電話叫你開門搜家！,100
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。, 這是典型的健保詐騙集團手法，警方和健保署絕對不會用電話要求你「和解」或轉帳。  請直接掛斷電話，並撥打165反詐騙專線或健保署諮詢電話（0800-030-598）檢舉，千萬不要相信或轉任何錢！,100
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。, 這是典型的「海關包裹藏毒/黃金」詐騙電話，臺灣海關絕對不會用電話直接通知你「涉嫌走私」要求配合調查。正確做法：直接掛斷電話，千萬不要按任何數字、不要回電，也不要提供任何個人資料；若擔心真有包裹問題，請主動打海關官方電話 0800-211-699 查詢，絕對不要相信來電顯示的號碼。,100
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。, 遇到自稱「國稅局」打來說「您去年所得稅重複繳納，要幫您退稅」的電話，千萬不要相信，也不要提供任何個人資料或照對方指示操作ATM、網路銀行。正確做法只有一句話：直接掛掉電話，然後撥打財政部國稅局的官方退稅專線 0800-000-321（手機請撥 03-328-9292）查詢，或上財政部稅務入口網（www.etax.nat.gov.tw）自行確認是否有退稅，絕對不要理會來電者！,100
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。, 這是典型的法院法拍詐騙電話，臺灣法院絕對不會用電話通知法拍，更不可能要求你「立刻聯繫執行官」。正確做法：直接掛斷，絕不要回電或提供任何資料；若真的擔心，可自行打電話到地方法院執行處（02-2314-6969 或各地法院總機）查詢案件，真實案件都有案號，不會用這種嚇人方式通知。,0
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。, 針對這通詐騙來電，建議您**立即掛斷電話，並封鎖該號碼**。這是典型的「禮物卡詐騙」，詐騙集團常用交友軟體假身份，聲稱需支付關稅才能領取不存在的禮物，千萬別匯款或提供個人資訊！**怎麼做：**1. **掛斷並封鎖**：不要回應，直接掛斷並在手機設定中封鎖來電號碼。2. **不付款**：絕對不要透過任何方式（ATM、禮券、轉帳）支付所謂的「關稅」。3. **通報**：可撥打165反詐騙專線或向警政署「165打詐APP」檢舉。**為什麼是詐騙？**- 正規海關不會透過私人電話要求繳稅。- 詐騙常要求用不可追蹤的方式（如禮券）付款。- 交友軟體認識的人突然要求錢，多半有詐。保持警覺，保護自己！,100
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。, 這是典型的「假綁架」或「假兒子急需保釋金」詐騙！請立刻做兩件事：1. 冷靜掛斷電話，絕對不要匯任何錢。2. 馬上打電話給你真正的兒子（用你原本存的手機號碼撥打）確認他是否平安；若聯絡不上再打110報警，讓警方處理。 千萬別相信對方說「不要告訴別人」，這就是詐騙慣用手法！,100
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。, 這是典型的假冒公家機關詐騙，臺灣任何政府單位（包含勞動部、國稅局、農委會等）絕對不會用電話要求你提供存摺影本或金融資料領取老人年金。正確做法：直接掛斷電話，撥打165反詐騙專線或110報警，千萬不要傳任何存摺、身分證或銀行資料給對方。,100
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。, 請立刻掛斷電話，然後撥打165反詐騙專線或直接打110報警。  真正的地檢署絕對不會用電話「通知」你涉及詐欺或要求你不要掛斷，這一定是詐騙！,100
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。, 這是常見的「海關扣包裹詐騙」，千萬不要相信，也不要點任何連結或轉帳。正確做法只有一句：直接掛斷電話，然後自己打中華郵政客服1925或海關總署諮詢電話（02-25505500）查詢，絕對不要理會對方提供的任何聯絡方式。,0
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。, 這是典型的「假冒勞保局退款」詐騙！  請直接掛斷電話，絕對不要匯款，並立刻撥打勞保局官方電話 0800-078-777（或02-2396-1266）或警政署反詐騙專線 165 查證，千萬別點對方傳的連結或匯錢到任何帳戶！,100
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。, 針對這種Line Pay詐騙來電，建議您**立即掛斷電話，不要提供任何驗證碼或個人資訊**。正規的Line Pay客服絕不會透過電話要求您提供驗證碼。## 具體做法：1. **掛斷電話** - 不要與對方繼續對話2. **透過官方管道確認**：   ,100
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。, 這是標準的「保證高報酬、保本保息」投資詐騙電話，千萬不要相信，也不要匯任何錢。請直接掛斷、拉黑號碼，並立刻向反向撥打165反詐騙專線報案，如果已經加LINE或點擊對方傳的連結，馬上到銀行或郵局臨櫃辦理「凍結帳戶」避免被轉走錢。,100
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。, 這是典型的假冒百貨公司客服的信用卡盜刷詐騙！請立刻掛斷電話，千萬不要提供任何個人資料或按照對方指示操作，然後直接撥打您信用卡背面的發卡銀行客服電話（或官方App）查詢交易紀錄，確認是否真的有問題。臺灣常見被冒用的百貨包括遠東、新光、三越、SOGO等，記住正規客服絕不會用手機或未知號碼打來要求你轉帳或操作ATM。,100
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。, 這是常見的「假保險業務」詐騙手法，正規保險公司絕不會用電話推銷「新優惠方案」並要求你操作ATM或提供個資。正確做法：直接說「我沒有這需求，謝謝」後立刻掛電話，然後撥165反詐騙專線或用LINE搜尋「@twpolice165」檢舉，避免任何對話或轉接。,100
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。, 這是常見的蝦皮連續扣款詐騙！請立刻掛斷電話，千萬不要點任何對方傳來的連結、不要加LINE、也不要提供任何個資或驗證碼。正確做法是自己打開蝦皮App，進「我→訂單」親自確認是否有異常，真的有問題再打蝦皮官方客服 02-6636-6566 求證，絕對不要相信來電者。,0
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。, 這是典型的 Line Pay 詐騙簡訊/來電，官方絕對不會用電話或簡訊要求你點擊連結驗證帳戶。請直接掛斷電話、不要點任何連結，並立刻向 Line 官方客服或撥打警政署 165 反詐騙專線檢舉，避免個資與錢包被盜。,100
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。, 這是典型的詐騙手法，正規商家或平台絕對不會要求你「轉帳證明信用」。  直接掛斷電話、不要點任何連結，也不要轉任何錢，立即撥打165反詐騙專線或110報警就好。,100
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。, 這是常見的蝦皮假客服詐騙！千萬不要點任何對方傳來的連結，也不要加對方的Line或打對方提供的電話。正確做法只有一句話：直接打蝦皮官方客服電話 02-6636-6558 確認，或自己打開蝦皮App點「我→客服中心」詢問，絕對不要相信來電或簡訊主動提供的聯繫方式。,0
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。, 這是經典的「訂房重複扣款退款」詐騙手法，詐騙集團會誘導你去ATM或網銀操作「收款」功能，實際上是把你的錢轉給對方。請立刻掛斷電話，千萬不要按照對方指示去操作任何提款機或手機銀行，並直接撥打165反詐騙專線或110報警。,100
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。, 這是常見的二手拍賣平臺詐騙手法，正規平臺絕不會用電話通知「洗錢停權」要求你聯絡陌生客服。  請直接無視並掛斷，然後自行登入官方App或網站查詢帳號狀態，千萬不要點任何對方傳的連結或加Line。,100
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。, 請立即掛斷電話，並撥打中華電信官方客服 0800-080-123 查詢帳單真偽，切勿相信來電催繳以免受騙。,100
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。, 這是常見的「假冒PChome/銀行異常交易」詐騙電話，千萬不要理會對方任何要求（包括按鍵、提供簡訊驗證碼、安裝遠端軟體或轉帳）。正確做法：直接掛斷電話，然後自己打開PChome或銀行官方App確認消費紀錄，或撥打官方客服165反詐騙專線查證，絕對不要回撥對方提供的任何號碼。,100
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。, 這是典型的遊戲帳號詐騙！請直接掛斷電話，絕對不要轉帳或提供任何個資，然後立刻向遊戲官方客服（官方網站或App內管道）查詢帳號狀態，並向臺灣警政署反詐騙專線165檢舉。,100
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。, 這是典型的「假亞馬遜客服」詐騙電話，千萬不要相信或照做。正確做法：直接掛斷電話，然後自行登入官方 Amazon 網站或 App 查詢訂單紀錄，絕對不要點對方傳的連結或提供任何個資、驗證碼。遇到可疑來電就撥 165 反詐騙專線確認。,100
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。, 針對這種聲稱「Line Pay涉及洗錢，需要遠端監控手機並下載TeamViewer」的來電，請堅決拒絕對方要求，並採取以下行動：請直接掛斷電話，絕對不要按照對方的指示下載任何遠端控制軟體（如TeamViewer），因為這是典型的詐騙手法。詐騙集團透過要求受害者安裝遠端控制軟體，取得受害者的手機或電腦控制權後，即可進行轉帳、竊取個人資料等犯罪行為。正式機構，例如Line Pay官方、銀行或警方，絕不會透過電話要求您下載遠端控制軟體來進行任何調查或驗證。若您對帳戶安全有疑慮，請主動撥打Line Pay官方客服電話（02-6636-8888）或透過官方應用程式內的客服管道確認，切勿使用對方提供的任何聯絡方式或網址。,100
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。, 這是典型的詐騙話術，正規銀行絕對不會用「午夜12點準時扣款」這種威脅語氣催你馬上操作。正確做法：直接掛斷電話，什麼都不要點、不要按，也不要回撥，然後撥165反詐騙專線或直接打給你的銀行官方客服確認即可，千萬別相信對方提供的任何號碼或連結。,100
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。, 直接掛斷電話，不要回應任何資訊，並撥打玉山銀行官方客服（02-7758-6888）確認，以防詐騙。,0
您訂購的電影票因為系統維護，需要取消訂單並退款。, 這是常見的「假退款」詐騙！千萬不要點任何簡訊或來電提供的連結，也不要按照對方指示操作ATM或輸入任何個資。正確做法只有一句：直接掛電話，然後自己打電話到官方客服（例如台灣的威秀、秀泰、國賓等影城官方電話）確認訂單，根本沒有這筆訂單就是詐騙。,100
